,time,mu_real,mu_imag
1,0.0001,-0.0293131612755,3.62600303422e-11
2,0.0002,-0.029313161163,1.55511983025e-09
3,0.0003,-0.0293131610518,3.07398063467e-09
4,0.0004,-0.0293131609408,4.59284132088e-09
5,0.0005,-0.02931316083,6.11170200566e-09
6,0.0006,-0.0293131607193,7.63056268771e-09
7,0.0007,-0.0293131606089,9.14942336679e-09
8,0.0008,-0.0293131604987,1.06682840427e-08
9,0.0009,-0.0293131603886,1.21871447151e-08
10,0.001,-0.0293131602788,1.37060053839e-08
11,0.0011,-0.0293131601692,1.52248660487e-08
12,0.0012,-0.0293131600597,1.67437267095e-08
13,0.0013,-0.0293131599505,1.82625873658e-08
14,0.0014,-0.0293131598414,1.97814480175e-08
15,0.0015,-0.0293131597325,2.13003086644e-08
16,0.0016,-0.0293131596238,2.28191693062e-08
17,0.0017,-0.0293131595154,2.43380299427e-08
18,0.0018,-0.0293131594071,2.58568905737e-08
19,0.0019,-0.029313159299,2.73757511988e-08
20,0.002,-0.0293131591911,2.8894611818e-08
21,0.0021,-0.0293131590834,3.04134724309e-08
22,0.0022,-0.0293131589759,3.19323330373e-08
23,0.0023,-0.0293131588686,3.34511936369e-08
24,0.0024,-0.0293131587614,3.49700542296e-08
25,0.0025,-0.0293131586545,3.64889148152e-08
26,0.0026,-0.0293131585478,3.80077753933e-08
27,0.0027,-0.0293131584413,3.95266359637e-08
28,0.0028,-0.0293131583349,4.10454965262e-08
29,0.0029,-0.0293131582288,4.25643570806e-08
30,0.003,-0.0293131581228,4.40832176267e-08
31,0.0031,-0.029313158017,4.56020781641e-08
32,0.0032,-0.0293131579115,4.71209386927e-08
33,0.0033,-0.0293131578061,4.86397992122e-08
34,0.0034,-0.0293131577009,5.01586597225e-08
35,0.0035,-0.029313157596,5.16775202231e-08
36,0.0036,-0.0293131574912,5.31963807141e-08
37,0.0037,-0.0293131573866,5.47152411949e-08
38,0.0038,-0.0293131572822,5.62341016656e-08
39,0.0039,-0.029313157178,5.77529621258e-08
40,0.004,-0.029313157074,5.92718225752e-08
41,0.0041,-0.0293131569701,6.07906830137e-08
42,0.0042,-0.0293131568665,6.23095434411e-08
43,0.0043,-0.0293131567631,6.3828403857e-08
44,0.0044,-0.0293131566599,6.53472642612e-08
45,0.0045,-0.0293131565568,6.68661246536e-08
46,0.0046,-0.029313156454,6.83849850338e-08
47,0.0047,-0.0293131563513,6.99038454017e-08
48,0.0048,-0.0293131562489,7.1422705757e-08
49,0.0049,-0.0293131561466,7.29415660995e-08
50,0.005,-0.0293131560445,7.44604264289e-08
51,0.0051,-0.0293131559427,7.5979286745e-08
52,0.0052,-0.029313155841,7.74981470476e-08
53,0.0053,-0.0293131557395,7.90170073364e-08
54,0.0054,-0.0293131556382,8.05358676112e-08
55,0.0055,-0.0293131555371,8.20547278717e-08
56,0.0056,-0.0293131554362,8.35735881178e-08
57,0.0057,-0.0293131553355,8.50924483492e-08
58,0.0058,-0.029313155235,8.66113085657e-08
59,0.0059,-0.0293131551347,8.8130168767e-08
60,0.006,-0.0293131550345,8.96490289528e-08
61,0.0061,-0.0293131549346,9.11678891231e-08
62,0.0062,-0.0293131548349,9.26867492774e-08
63,0.0063,-0.0293131547353,9.42056094157e-08
64,0.0064,-0.029313154636,9.57244695375e-08
65,0.0065,-0.0293131545368,9.72433296428e-08
66,0.0066,-0.0293131544379,9.87621897313e-08
67,0.0067,-0.0293131543391,1.00281049803e-07
68,0.0068,-0.0293131542405,1.01799909857e-07
69,0.0069,-0.0293131541422,1.03318769894e-07
70,0.007,-0.029313154044,1.04837629912e-07
71,0.0071,-0.029313153946,1.06356489913e-07
72,0.0072,-0.0293131538482,1.07875349896e-07
73,0.0073,-0.0293131537506,1.0939420986e-07
74,0.0074,-0.0293131536532,1.10913069806e-07
75,0.0075,-0.029313153556,1.12431929732e-07
76,0.0076,-0.029313153459,1.1395078964e-07
77,0.0077,-0.0293131533621,1.15469649528e-07
78,0.0078,-0.0293131532655,1.16988509396e-07
79,0.0079,-0.0293131531691,1.18507369244e-07
80,0.008,-0.0293131530728,1.20026229073e-07
81,0.0081,-0.0293131529768,1.21545088881e-07
82,0.0082,-0.0293131528809,1.23063948668e-07
83,0.0083,-0.0293131527853,1.24582808435e-07
84,0.0084,-0.0293131526898,1.26101668181e-07
85,0.0085,-0.0293131525946,1.27620527905e-07
86,0.0086,-0.0293131524995,1.29139387608e-07
87,0.0087,-0.0293131524046,1.30658247289e-07
88,0.0088,-0.0293131523099,1.32177106948e-07
89,0.0089,-0.0293131522154,1.33695966585e-07
90,0.009,-0.0293131521211,1.35214826199e-07
91,0.0091,-0.029313152027,1.36733685791e-07
92,0.0092,-0.0293131519331,1.3825254536e-07
93,0.0093,-0.0293131518394,1.39771404905e-07
94,0.0094,-0.0293131517459,1.41290264428e-07
95,0.0095,-0.0293131516526,1.42809123926e-07
96,0.0096,-0.0293131515595,1.44327983401e-07
97,0.0097,-0.0293131514665,1.45846842852e-07
98,0.0098,-0.0293131513738,1.47365702278e-07
99,0.0099,-0.0293131512812,1.4888456168e-07
100,0.01,-0.0293131511889,1.50403421057e-07
101,0.0101,-0.0293131510967,1.51922280409e-07
102,0.0102,-0.0293131510048,1.53441139736e-07
103,0.0103,-0.029313150913,1.54959999037e-07
104,0.0104,-0.0293131508214,1.56478858312e-07
105,0.0105,-0.02931315073,1.57997717562e-07
106,0.0106,-0.0293131506388,1.59516576785e-07
107,0.0107,-0.0293131505478,1.61035435982e-07
108,0.0108,-0.029313150457,1.62554295152e-07
109,0.0109,-0.0293131503664,1.64073154295e-07
110,0.011,-0.029313150276,1.65592013411e-07
111,0.0111,-0.0293131501858,1.671108725e-07
112,0.0112,-0.0293131500958,1.68629731561e-07
113,0.0113,-0.029313150006,1.70148590594e-07
114,0.0114,-0.0293131499163,1.71667449599e-07
115,0.0115,-0.0293131498269,1.73186308576e-07
116,0.0116,-0.0293131497377,1.74705167524e-07
117,0.0117,-0.0293131496486,1.76224026444e-07
118,0.0118,-0.0293131495598,1.77742885334e-07
